,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At this moment you have selected:,,,1310,values (out of 1310 in total).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,USED?,ECOSYSTEM,,SERVICE,,CASE STUDY LOCATION,,,,,,,,,,VALUE INFORMATION,,,,,,,ADDITIONAL INFORMATION,,REFERENCE,,,
ValueID,Used for TEEB analysis?,Biome,Ecosystem,ESService,ESSubservice,Country,Country Income Group (World Bank 2007),Country Population Density (World Bank 2005),Protected Status,Scale of research,Location Name,Region (World Bank classes),Continent,Latitude N-S,Longitude E-W,Year Of Validation,standardized 2007 value?,Valuation Method,ValueType,Value,Unit,Currency,NotesOther,ServiceArea,Authors,Year Of Publication,Title,Full reference
Column1,Select false / true,Select Biome,Select ecosystem,Select service,Select Subservice,Select a country,Select status,Select Scale,Query location name,Select a region,Select an Income Group,Select Population Density,Select a continent,,,select year,False / True,Select a method,Select a value type,Query values,Select unit(s),Select currencies,Query Notes,Query service area,Query Authors,Select year(s),Query title,Query full reference
4,FALSE,Tropical Forest,Tropical rain forests,Water,Water [unspecified],Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Avoided Cost,Net Present Value,1559000000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
5,TRUE,Tropical Forest,Tropical rain forests,Food,Fish,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Direct market pricing,Annual,13.2,USD/ha/yr,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
6,FALSE,Tropical Forest,Tropical rain forests,Extreme events,Flood prevention,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2002,FALSE,Avoided Cost,Net Present Value,1407000000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
7,TRUE,Tropical Forest,Tropical rain forests,Erosion,Erosion prevention,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Avoided Cost,Annual,900,USD/ha/yr,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
8,FALSE,Tropical Forest,Tropical rain forests,Recreation,Recreation,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Direct market pricing,Net Present Value,289000000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
9,FALSE,Tropical Forest,Tropical rain forests,Genepool,Biodiversity protection,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Benefit Transfer,Net Present Value,274000000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
10,FALSE,Tropical Forest,Tropical rain forests,Climate,C-sequestration,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Avoided Cost,Net Present Value,126500000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
11,FALSE,Tropical Forest,Tropical rain forests,Extreme events,Fire Prevention,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Avoided Cost,Net Present Value,372500000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
